shift_id,rider_id,status
1361,64,confirmed
1362,61,confirmed
1363,12,confirmed
1364,200,confirmed
1365,61,confirmed
1366,56,confirmed
1367,64,confirmed
1368,61,confirmed
1369,118,confirmed
1370,200,confirmed
1371,42,confirmed
1372,58,confirmed
1373,200,confirmed
1374,42,confirmed
1375,,unassigned
1376,,unassigned
1377,14,confirmed
1378,14,confirmed
1379,24,confirmed
1380,,cancelled_by_rider
1381,,cancelled_by_rider
1382,,cancelled_by_rider
1383,,cancelled_by_rider
1384,60,confirmed
1385,16,confirmed
1386,16,confirmed
1387,148,confirmed
1388,16,confirmed
1389,16,confirmed
1390,199,confirmed
1391,199,confirmed
1392,20,confirmed
1393,119,confirmed
1394,199,confirmed
1395,1,confirmed
1396,199,confirmed
1397,1,confirmed
1398,49,confirmed
1399,199,confirmed
1400,199,confirmed
1401,70,confirmed
1402,70,confirmed
1403,70,confirmed
1404,70,confirmed
1405,70,confirmed
1406,70,confirmed
1407,21,confirmed
1408,21,confirmed
1409,21,confirmed
1410,14,confirmed
1411,51,confirmed
1412,51,confirmed
1413,51,confirmed
1414,51,confirmed
1415,1,confirmed
1416,1,confirmed
1417,1,confirmed
1418,69,confirmed
1419,17,confirmed
1420,16,confirmed
1421,24,confirmed
1422,17,confirmed
1423,206,confirmed
1424,24,cancelled_by_rider
1425,203,confirmed
1426,16,confirmed
1427,203,confirmed
